customer_id,customer_name,email,country,total_orders,completed_orders,pending_orders,total_revenue,avg_order_value,last_order_date,first_order_date,days_as_customer,updated_at
2,Bob Smith,bob.smith@email.com,Canada,1,1,0,310.5,310.5,2026-02-12,2026-02-12,0.0,2026-05-23 10:31:11.078414+00:00
3,Carol Davis,carol.davis@email.com,USA,0,0,0,0.0,,,,,2026-05-23 10:31:11.078414+00:00
4,David Wilson,david.wilson@email.com,UK,1,1,0,0.0,,2026-02-15,2026-02-15,0.0,2026-05-23 10:31:11.078414+00:00
5,Emma Brown,emma.brown@email.com,Australia,0,0,0,0.0,,,,,2026-05-23 10:31:11.078414+00:00
6,Frank Miller,frank.miller@email.com,USA,0,0,0,0.0,,,,,2026-05-23 10:31:11.078414+00:00
7,Grace Lee,grace.lee@email.com,Singapore,0,0,0,0.0,,,,,2026-05-23 10:31:11.078414+00:00
8,Henry Taylor,henry.taylor@email.com,USA,1,0,0,0.0,,2026-02-10,2026-02-10,0.0,2026-05-23 10:31:11.078414+00:00
9,Iris Martinez,iris.martinez@email.com,Spain,0,0,0,0.0,,,,,2026-05-23 10:31:11.078414+00:00
1,Alice Johnson,alice.johnson@email.com,USA,0,0,0,0.0,,,,,2026-05-23 10:31:11.078414+00:00
10,Jack Anderson,jack.anderson@email.com,USA,1,1,0,0.0,,2026-02-11,2026-02-11,0.0,2026-05-23 10:31:11.078414+00:00
